model,loss,accuracy,f1_score,threshold,timestamp
trained_model,0.193195641040802,0.9347979426383972,0.92,0.18683635,2025-05-28 22:26:56.765108
best_model,0.17190498113632202,0.9377349615097046,0.92,0.4751758277416229,2025-05-28 22:29:09.077315
