model,loss,accuracy,f1_score,threshold,timestamp
trained_model,0.1748002171516418,0.9362077116966248,0.92,0.5383128,2025-05-29 12:38:37.402802
best_model,0.5281374454498291,0.7989896535873413,0.75,0.7127271890640259,2025-05-29 12:41:09.114784
